Time(s),I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014682245453898585,0.0,0.0,0.0
1.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014468924693250332,0.0,0.0,0.0
1.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014255498869537773,0.0,0.0,0.0
1.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014041980566438304,0.0,0.0,0.0
1.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013828382363034971,0.0,0.0,0.0
1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013614716833695454,0.0,0.0,0.0
1.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013400996547951868,0.0,0.0,0.0
1.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013187234070381575,0.0,0.0,0.0
1.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012973441960488982,0.0,0.0,0.0
1.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001275963277258831,0.0,0.0,0.0
1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012545819055687297,0.0,0.0,0.0
1.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012332013353371796,0.0,0.0,0.0
1.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012118228203691528,0.0,0.0,0.0
1.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011904476139046544,0.0,0.0,0.0
1.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001169076968607483,0.0,0.0,0.0
1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001147712136554071,0.0,0.0,0.0
1.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011263543692224308,0.0,0.0,0.0
1.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001105004917481187,0.0,0.0,0.0
1.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010836650315787042,0.0,0.0,0.0
1.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010623359611323154,0.0,0.0,0.0
1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001041018955117625,0.0,0.0,0.0
1.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010197152618579195,0.0,0.0,0.0
1.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000998426129013662,0.0,0.0,0.0
1.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009771528035720858,0.0,0.0,0.0
1.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009558965318368752,0.0,0.0,0.0
1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009346585594179379,0.0,0.0,0.0
1.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009134401312212597,0.0,0.0,0.0
1.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008922424914388637,0.0,0.0,0.0
1.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008710668835388512,0.0,0.0,0.0
1.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008499145502555289,0.0,0.0,0.0
1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008287867335796265,0.0,0.0,0.0
1.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008076846747486063,0.0,0.0,0.0
1.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007866096142370642,0.0,0.0,0.0
1.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007655627917472047,0.0,0.0,0.0
1.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007445454461994161,0.0,0.0,0.0
1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007235588157229293,0.0,0.0,0.0
1.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007026041376465585,0.0,0.0,0.0
1.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006816826484895362,0.0,0.0,0.0
1.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006607955839524234,0.0,0.0,0.0
1.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006399441789081053,0.0,0.0,0.0
1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006191296673928879,0.0,0.0,0.0
1.382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005983532825976634,0.0,0.0,0.0
1.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005776162568591594,0.0,0.0,0.0
1.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005569198216512786,0.0,0.0,0.0
1.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005362652075765187,0.0,0.0,0.0
1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005156536443574771,0.0,0.0,0.0
1.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004950863608284327,0.0,0.0,0.0
1.394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047456458492701765,0.0,0.0,0.0
1.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004540895436859634,0.0,0.0,0.0
1.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043366246322492025,0.0,0.0,0.0
1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004132845687423773,0.0,0.0,0.0
1.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039295708450764674,0.0,0.0,0.0
1.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003726812338529354,0.0,0.0,0.0
1.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035245823916548943,0.0,0.0,0.0
